Start Time,End Time,Sentence,Translation,Emotion
763.98,765.98,میتونم مینویسن تشکیل باند,And I can tell you how a group is a group.,neutral
765.98,766.98,تو ام مینویسن سر کرده این باند,And I'm going to tell you what they're talking about.,neutral
766.98,771.32,حوکم این رو این رو میرزن بردو کدومش,It's going to be going to be going to be going to be going to be going to be going to be going to be going to be going to be going to be going to be going to be going to be going to be going to be going to be going to be going to be going to be going to be going to be going to be going to be going to be going to be going to be going to be going to be going to be going to be,neutral
771.32,772.32,کدومش,And what's going to be?,surprise
774.32,775.32,تشکیل باند,It's a separate group.,neutral
776.32,777.32,یا بچه محل,It's a child.,neutral
777.32,780.32,به قرآن مه هستن نمیدونم باند چی هست,And I don't know what's going to be.,surprise
780.32,781.32,پس دو,It's one of them.,neutral
781.32,782.32,تشکیل باند,It's a separate group.,neutral
782.32,783.32,تو هم رئیس باند,It's a political leader.,neutral
783.32,785.32,اعتراف این رو میزن به پرونده,And they're talking about this.,surprise
789.45,791.45,من یه که میشتستم شاید بدون این,And I'm going to have a thing that I'm going to be without this.,neutral
791.45,792.45,شاید بده قبضش بگیر,It's not going to be a debt.,neutral
792.45,793.45,نامزد ناسر بوده,And he was a lawyer.,neutral
793.45,795.45,نامزد ناسر تو هم کجه میشتستی؟,So what do you do?,surprise
795.45,796.45,خواهرزادم,We're going to be going to be going to be going to be going to be going to be going to be going to be going to be going to be going to be going to be going to be going to be going to be going to be going to be going to be going to be going to be going to be going to be going to be going to be going to be going to be going to be going to be going to be going to be going to be,neutral
796.45,799.45,خواهرزاد نامزد ناسر بوده هلان دیگه نیست,It wasn't going to be a lawyer.,sadness
799.45,801.45,نه بلی شاید بدون اون کجه است,And it's not without a spoon.,neutral
801.45,806.92,چه رو من هرچی میگن فکر میکنی دارم دروغ میگن؟,It's what I think about it?,surprise
806.92,807.92,من فکر میکنم دو این دروغ میگن,And I think two these problems are a problem.,neutral
807.92,809.92,من مطمئن نم دو این دروغ میگن,It's not a problem.,neutral
809.92,810.92,یه کوپی از این میخواد؟,So what's going to do?,neutral
810.92,811.92,برین بیرون,And they're going to go back.,neutral
820.92,822.92,برین بسیاد میکنم,And I'm going to be going to be going to be going to be going to be going to be going to be going to be going to be going to be going to be going to be going to be going to be going to be going to be going to be going to be going to be going to be going to be going to be going to be going to be going to be going to be going to be going to be going to be going to be going to be,neutral
822.92,824.92,همید ا Chernay,And I'm going to be going to be going to be going to be going to be going to be going to be going to be going to be going to be going to be going to be going to be going to be going to be going to be going to be going to be going to be going to be going to be going to be going to be going to be going to be going to be going to be going to be going to be.,neutral
824.92,826.92,همید الان برو بیرون,And you're going to go back.,anger
827.92,828.92,سربان,It's going to be a victory.,joy
828.92,829.92,چنین نشستین پس,It's going to be going to be going to be going to be going to be going to be going to be going to be going to be going to be going to be going to be going to be going to be going to be going to be going to be going to be going to be going to be going to be going to be going to be going to be going to be going to be going to be going to be going to be going to be going to be,neutral
829.92,830.92,حمید بیارش دایم دیگه,And I'm going to do it.,neutral
830.92,832.92,بیرو دیگه بگه نه میگم زود,"It's not going to tell me, but I'm not going to tell me.",neutral
832.92,833.92,بفرماین,It's not going to be going to be going to be going to be going to be going to be going to be going to be going to be going to be going to be going to be going to be going to be going to be going to be going to be going to be going to be going to be going to be going to be going to be going to be going to be going to be going to be going to be going to be going to be going to be,neutral
834.92,836.92,زود صدقان خوان شمان بفرماین بیرون,And you're going to tell you what you're going to do.,neutral
836.92,837.92,شما باش,And you're going to be going to be going to be going to be going to be going to be going to be going to be going to be going to be going to be going to be going to be going to be going to be going to be going to be going to be going to be going to be going to be going to be going to be going to be going to be going to be going to be going to be going to be going to be going to be,neutral
841.35,843.35,صداتو میکنم نمی دربای سر,And I'm going to do it.,neutral
843.35,844.35,بله,And I'm going to be going to be going to be going to be going to be going to be going to be going to be going to be going to be going to be going to be going to be going to be going to be going to be going to be going to be going to be going to be going to be going to be going to be going to be going to be going to be going to be going to be going to be going to be going to be,neutral
844.35,845.35,چه؟,It's what?,surprise
845.35,846.35,یه کوپی از این بگیرم,And I'm going to do this.,neutral
846.35,847.35,امی دیگه بفرماین,It's not going to be going to be going to be going to be going to be going to be going to be going to be going to be going to be going to be going to be going to be going to be going to be going to be going to be going to be going to be going to be going to be going to be going to be going to be going to be going to be going to be going to be going to be going to be going to be,neutral
847.35,855.2,برو کله ای بای فوتو خواپی,And you're going to be a little bit a bit a bit a bit a bit a bit a bit a bit a bit a bit a bit a bit a bit a bit a bit a bit.,neutral
855.2,856.2,برو,We're going to be going to be going to be going to be going to be going to be going to be going to be going to be going to be going to be going to be going to be going to be going to be going to be going to be going to be going to be going to be going to be going to be going to be going to be going to be going to be going to be going to be going to be going to be going to be,neutral
856.2,857.2,در,We're going to be able to be able to be able to be able to be able to be able to be able to be able to be able to be able to be able to be able to be able to be able to be able to be able to be able to be able to be able to be able to be able to be able to be able.,neutral
857.2,858.84,حالاً کجا است؟,And what is it?,surprise
858.84,860.88,اختی یه ساده نیمه ندیدمش,"And it's a very simple, very simple.",neutral
860.88,862.88,با ناسر خاکستاد اضابه اش کرده بودین؟,So what was going to be going to be going to be going?,neutral
862.88,864.4,نه قرار بود ولی نشد,"And it wasn't going to happen, but it wasn't going to happen.",sadness
864.4,865.44,چرا؟,And what?,surprise
865.44,870.27,اختلاف داشتیم، جدا شد,"And we had a difference, we had a difference.",neutral
870.27,872.23,اختلاف نظر؟,And what's the difference?,surprise
872.23,873.11,نه,And they're not going to be going to be going to be going to be going to be going to be going to be going to be going to be going to be going to be going to be going to be going to be going to be going to be going to be going to be going to be going to be going to be going to be going to be going to be going to be going to be going to be going to be going to be going to be going,neutral
874.51,875.91,اختلاف...,It's a difference.,neutral
876.87,878.03,طبقاتی بیشتر,It's more expensive.,disgust
878.03,879.95,یعنی شما از اون بولیار تر بودین؟,And you were older than you?,surprise
879.95,881.39,نه لوزو من مالی,"And I'm going to get a lot of money, but I'm going to get a lot of money.",sadness
881.39,883.23,با لوزو من چی اخلاقی؟,So what's ethics?,neutral
883.23,885.47,نه خیلی ام خوش اخلاق بود,And I was very happy.,joy
885.47,886.91,مسئله بیشتر...,It's more important.,neutral
887.79,890.07,شخصیتش بود تا اخلاقش,It was a person to be a person to be a person to be a person to be a person to be a person to be a moral.,neutral
890.07,891.55,من نمی فهمم یعنی چی؟,I don't know what?,surprise
891.55,893.03,درست توضیح بده حالی میشه,"It's really interesting, but it's really interesting.",surprise
893.03,895.67,من اخت کردم چم بخت دیگه هم اروسیمه,And I had a child that I had a child.,joy
895.67,897.27,الان هم نمی فهمم چرا اینجا هم,And I don't know what it's here.,surprise
897.27,899.35,نمیدودم چرا با به این سوالات جواب بدهم,And I don't know how to answer this questions.,neutral
899.35,901.55,از این به بعد هر یه باری که آشیه بری,And then every day you're going to be going to be going to be going to be going to be going to be going to be going to be going to be going to be going to be going to be going to be going to be going to be going to be going to be going to be going to be going to be going to be going to be going to be going to be going to be going to be going to be going to be going to be going.,neutral
901.55,903.11,یه هفته میفرستم ات باز داشکو,"It's a week ago, I'm going to get a few weeks.",neutral
903.11,905.35,بعد سواله بعدی از این بپرسن,And then we're going to ask the next question.,neutral
905.35,907.35,مثل بچه آدم توضیح بده ببینم چی میگی؟,And I'm going to tell you what's going to do?,neutral
907.51,910.03,یعنی چی بیشتا مسئل شخصتش بود تا اخلاقش؟,And what was the most important question of the person to the moral?,neutral
910.03,912.31,یعنی سایه می کرد با شخصیت باشه,And it would be a shadow with a person.,neutral
913.71,914.95,ولی نمیتونست,And it's not going to be impossible.,neutral
914.95,920.61,چیز زور میزد آدم حسابی باشه,"It's going to be a lot of money, but it's going to be a lot of money.",neutral
922.25,923.25,نمیشود,And it's not going to be going to be going to be going to be going to be going to be going to be going to be going to be going to be going to be going to be going to be going to be going to be going to be going to be going to be going to be going to be going to be going to be going to be going to be going to be going to be going to be going to be going to be going to be going to,neutral
925.35,927.43,دست خودش نبود بشه نمیومد,It wasn't going to be going to be going to be going to be going to be going to be going to be going to be going to be going to be going to be going to be going to be going to be going to be going to be going to be going to be going to be going to be going to be going to be going to be going to be going to be going to be going to be going to be going to be going to be going to,neutral
928.43,938.31,معلوم میشد داره آدم درمیر,And it's going to be a guy in the middle of the world.,neutral
938.31,940.79,دوستاش معدب حرف بزنه,And he's going to talk to me.,neutral
940.79,943.11,ولی وقتی که فوش میداد,"And when he went out, he went out.",neutral
943.91,945.43,خیلی راحت تر بود,And it was very easy.,joy
945.43,947.27,ازم وقتی که لات و لوت بود,And I was going to be going to be going to be going to be going to be going to be going to be going to be going to be going to be going to be going to be going to be going to be going to be going to be going to be going to be going to be going to be going to be going to be going to be going to be going to be going to be going to be going to be going to be going to be going to be,neutral
947.27,950.86,خیلی بیشتر خودش بود اینگام,It was a lot more like him.,neutral
950.9,952.66,منم خیلی سایه کردم کمکش کنم,And I had a lot of resistance.,neutral
952.66,955.62,اونجوری که دلش میخواد باشه ولی نمیشود,And it's not going to be going to be going to be going to be going to be going to be going to be going to be going to be going to be going to be going to be going to be going to be going to be going to be going to be going to be going to be going to be going to be going to be going to be going to be going to be going to be going to be going to be going to be going to be going to,neutral
956.06,957.66,با سه میلش قدیم؟,It's a few years ago?,neutral
957.66,959.34,نه فقط این نبود,And it wasn't just that.,neutral
959.34,960.46,پس چی املی بود؟,And what was it?,surprise
960.46,961.18,آلکولی بود؟,And what was it?,surprise
961.18,962.46,چراچت بود؟,And what was it?,surprise
962.46,965.6,نه اینجوری نبود,And it wasn't going to happen.,sadness
965.6,966.6,ولی...,And it's a little bit.,neutral
967.64,970.24,اگه قرس نمیخورد خوابش نمیبود,"And if he was pregnant, it wasn't going to be pregnant.",neutral
971.28,974.97,استرستاش نمشد,And he was going to be going to be going to be going to be going to be going to be going to be going to be going to be going to be going to be going to be going to be going to be going to be going to be going to be going to be going to be going to be going to be going to be going to be going to be going to be going to be going to be going to be going to be going to be going.,neutral
974.97,980.26,تقیمه هر شب,It's going to be a night.,neutral
980.26,983.18,هر شب?,And what's the night?,surprise
983.18,990.23,کچی دیگه هولن رفتاروی اجیب و غریب اخلاقه اجیب,It's a little bit of emotional attitudes and emotional attitudes.,neutral
990.23,993.92,هر شب?,And what's the night?,surprise
993.96,997.02,اینجوری راحتم,And I don't know what I'm going to do.,surprise
997.02,1002.96,حتماً هم نمیدونسین ناسر خاکستاد قاچاقه ششه میکنه,It's not going to tell you why they're going to be going to be going to be going to be going to be going to be going to be going to be going to be going to be going to be going to be going to be going to be going to be going to be going to be going to be going to be going to be going to be going to be going to be going to be going to be going to be going to be going to be,neutral
1002.96,1004.96,نمیدونسین دایتون براش هموند میکنه,And you don't know what you're going to do.,surprise
1004.96,1005.96,آره؟,So what's going to be?,neutral
1005.96,1006.96,بله,And I'm going to be going to be going to be going to be going to be going to be going to be going to be going to be going to be going to be going to be going to be going to be going to be going to be going to be going to be going to be going to be going to be going to be going to be going to be going to be going to be going to be going to be going to be going to be going to be,neutral
1006.96,1007.96,بله یعنی نمیدونستین؟,And you don't know what you know?,surprise
1007.96,1008.96,بله,And I'm going to be going to be going to be going to be going to be going to be going to be going to be going to be going to be going to be going to be going to be going to be going to be going to be going to be going to be going to be going to be going to be going to be going to be going to be going to be going to be going to be going to be going to be going to be going to be,neutral
1009.96,1012.96,این بلل یعنی دارین حرف منه تحید میکنین,And that's what you're talking about.,neutral
1012.96,1015.28,یعنی منظورتون اینی که نمیدونستین,"And that's what you don't know, because you don't know what you don't know.",surprise
1015.28,1017.6,بله؟,It's okay?,neutral
1017.6,1018.6,بله,And I'm going to be going to be going to be going to be going to be going to be going to be going to be going to be going to be going to be going to be going to be going to be going to be going to be going to be going to be going to be going to be going to be going to be going to be going to be going to be going to be going to be going to be going to be going to be going to be,neutral
1018.6,1019.6,بلند؟,So what's going to happen?,surprise
1019.6,1020.6,من نمیشنمه,And I don't know what I'm going to do.,surprise
1020.6,1021.6,بله,And I'm going to be going to be going to be going to be going to be going to be going to be going to be going to be going to be going to be going to be going to be going to be going to be going to be going to be going to be going to be going to be going to be going to be going to be going to be going to be going to be going to be going to be going to be going to be going to be,neutral
1021.6,1022.6,خیلی,And it's really interesting.,joy
1022.6,1025.56,الان اگه جا وای بچه بونتون تقوشه برم سره اصل مطلب,"And if you're going to be a teenager, you're going to be a teenager.",neutral
1025.8,1028.4,آنجا اگه جا وای بچه بونتون تقوشه برم سره اصل مطلب,"And if you're going to be a teenager, you're going to be a teenager.",neutral
1028.4,1030.84,شما ما شیرتون 7800 ملین تو هم میرزد، درسته؟,So what's going to be a 7800 dollar?,neutral
1030.84,1031.84,نه,And they're not going to be going to be going to be going to be going to be going to be going to be going to be going to be going to be going to be going to be going to be going to be going to be going to be going to be going to be going to be going to be going to be going to be going to be going to be going to be going to be going to be going to be going to be going to be going,neutral
1032.36,1033.88,آه بیدارم من برسی,So I'm going to be going to be going to be going to be going to be going to be going to be going to be going to be going to be going to be going to be going to be going to be going to be going to be going to be going to be going to be going to be going to be going to be going.,neutral
1033.88,1035.68,پدرتون که ماید میدونم بدونه,And I'm going to tell you what I'm going to say.,neutral
1035.68,1037.8,چرا دیگه وقتی خودش خریده؟,And what's it when he buys?,surprise
1038.8,1041.28,تو بابا تون خونه زندگیش 500 ملین نمیرزد,And you're going to get a 500 million dollars.,surprise
1041.28,1043.4,چجوری 7800 ملین تو هم بولی ماشین داده بریتون؟,And what's a 7800 dollar?,surprise
1043.4,1044.84,چه ربطی داره؟,So what's going to be a problem?,neutral
1044.84,1046.16,چه ربطی داره؟,So what's going to be a problem?,neutral
1046.16,1047.16,ببین,And you're going to see it.,neutral
1047.16,1050.8,من نمیخوام این ماشینو مثل پرمندار رقب درم ناسر خاگ سود,And I don't want to make this machine like a giant superstar.,neutral
1050.8,1053.72,اینکه این ماشینو امرتون هدیه گرفته و پایتو رو باز کنم,It's going to give you a gift and you're going to go back and go back and go back.,neutral
1053.72,1056.8,به دادگاه و شراکت در جرم و زندان و یه حرفا,It's a lawyer and a lawyer and a lawyer and a lawyer and a lawyer.,neutral
1056.8,1058.84,من یه آدرست ساده از اتخوام همین,And I'm going to have a very interesting idea of us.,neutral
1058.84,1061.12,آدرست دایم که ما این شام میخواتی رو نمیخوام,And we know that we're not going to be going to be going to be going to be going to be going to be going to be going to be going to be going to be going to be going to be going to be going to be going to be going to be going to be going to be going to be going to be going to be going to be going to be going to be going to be going to be going to be going to be going to be going to be,neutral
1061.12,1062.96,آدرست خونه زندگیش رو میخوام,And I'm going to remember the life of his life.,neutral
1064.72,1067.4,آدرست همون جایر رو میخوام که اقت نکرده,And I'm going to be going to be going to be going to be going to be going to be going to be going to be going to be going to be going to be going to be going to be going to be going to be going to be going to be going to be going to be going to be going to be going to be going to be going to be going to be going to be going to be going to be going to be going to be going to be,neutral
1068.16,1069.08,چه جوری بگی؟,So what do you do?,surprise
1069.08,1070.52,منمیدونم باوره تو میشه,And I know that you're going to tell you what you're going to do.,neutral
1070.52,1072.0,هیچ جوری,We don't have a lot of things.,neutral
1072.0,1073.76,هیچ جوری باورم نمیشه,It's not going to be going to be going to be going to be going to be going to be going to be going to be going to be going to be going to be going to be going to be going to be going to be going to be going to be going to be going.,neutral
1073.76,1075.68,راستشو بگو باورم میشه,"And you're going to say, I'm going to say, I'm going to say, I'm going to say, I'm going to say, I'm going to say, I'm going to say, I'm going to say, I'm going to say, I'm going to say, I'm going to say, I'm going to say, I'm going to say.",neutral
1076.44,1079.35,من دست رو تقریب ماشینو تو بدنم,And I'm going to make a vehicle in my body.,fear
1079.35,1082.03,جرید دستات دو چون مشکل اختلاف نبغاتی نمیدین,And you don't have two because you don't have two because you don't have a problem.,neutral
1082.03,1083.83,حالا من یه چیزی گفتن,So I'm talking about something.,neutral
1083.83,1086.43,آقای دامات در جرین همه ماشینو در آروز قراره ماشینو باشه,And they're going to take all the cars in the morning.,neutral
1086.43,1088.47,که آقای ناسر خاگ سود برا تخریده؟,And what's going to be a lawyer?,neutral
1088.47,1090.11,مزد معلوم نیست باشه,It's not going to happen.,neutral
1090.47,1091.55,بلا تقریب,And there's a lot of information.,neutral
1091.55,1094.89,حالا ما دستور بازداشتو رو بدم جواب اقای دامود چی میخوای بدی؟,And I'm going to give a petition for a lawyer who doesn't do it?,anger
1094.89,1096.31,بازداشت به چه جرمی ها؟,And what are the prisons?,neutral
1096.31,1099.17,به چه جرمی؟ تا حسن گاوی دعیت خودش جرمه,And what's a crime?,anger
1099.17,1101.13,سال به سالبه امامو نمی بینم,And I'm not going to see my father.,sadness
1101.13,1102.13,ببین,And you're going to see it.,neutral
1102.53,1104.81,نگانه کن عروسیت میخی گوشته,And you're going to see a little girl.,disgust
1104.81,1108.81,بلای سرط میارم که تو زندان خواب عروسیت هم نبینی,And I'm going to tell you that you're going to be a prisoner.,neutral
1108.81,1112.83,دوست داری بقتی تو زندانه بیا بی تلاخت بدی و بشنوی رفته با این گفتی,And you're going to be going to be going to be going to be going to be going to be going to be going to be going to be going to be going to be going to be going to be going to be going to be going to be going to be going to be going to be going to be going to be going to be going to be going to be going to be going to be going to be going to be going to be going to be going to be,neutral
1112.83,1113.79,این گفتی-,It's going to be going to be going to be going to be going to be going to be going to be going to be going to be going to be going to be going to be going to be going to be going to be going to be going to be going to be going to be going to be going to be going to be going to be going to be going to be going to be going to be going to be going to be going to be going to be,neutral
1113.79,1114.79,این گفتی-,It's going to be going to be going to be going to be going to be going to be going to be going to be going to be going to be going to be going to be going to be going to be going to be going to be going to be going to be going to be going to be going to be going to be going to be going to be going to be going to be going to be going to be going to be going to be going to be,neutral
1114.79,1117.97,این سرت میارم که تو زندان خواب عروسیت هم نبینی,And I'm going to tell you that you're going to be a prisoner.,neutral
1118.37,1122.89,دوست داری بقتی تو زندان قیابی تحلاقات به دلات بشنوی رفته با ایک دیگه عروسی کرده؟,So what's going to do with anyone in the prison for a stranger?,neutral
1122.93,1124.93,چرا دارید همه چیو به هم ربط میدین؟,It's what you're talking about?,surprise
1124.97,1126.93,من هیچ چیه تو رو به هم دیگه ربط نمیدم,"And I don't know what you're talking about, but I don't know what you're talking about.",surprise
1126.97,1129.29,تو همه چیت به همه دیگه همجوری مربوطه,It's all the things that are going to be going to be going to be going to be going to be going to be going to be going to be going to be going to be going to be going to be going to be going to be going to be going to be going to be going to be going to be going to be going to be going to be going to be going to be going to be going to be going to be going to be going to be going to be,neutral
1129.33,1133.37,ناسر خاکزات به تو، تو به دایید، دایید به ناسر خاکزات,"It's going to tell you, you're going to be able to be able to be able to be able to be able to be able to be able to be able to be able to be able to be able to be able to be able to be able to be able to be able to be able to be able to be able to be able to be able to be able to be able to be able to be able to be able to be able to be able to be",neutral
1133.41,1136.49,ناسر خاکزات به شیشه، شیشه به ماشینه تو,"It's going to be a brick, it's going to be a brick, it's going to be a brick.",neutral
1136.51,1139.11,تو به شوهره علانه از شوهره علانه از به من,And I'm going to give me a promise of a promise from me.,neutral
1139.15,1141.99,من هم که دربدر ناسر خاکزات,And I'm also going to be going to be going to be going to be going to be going to be going to be going to be going to be going to be going to be going to be going to be going to be going to be going to be going to be going to be going to be going to be going to be going to be going to be going to be going to be going to be going to be going to be going to be going to be going to,neutral
1142.03,1145.59,ببین من چه بلاهایی میتونم سره تو بیارم و نمیارم,It's what I can do with you and don't know what I can do with you and don't know what I can do with you.,neutral
1145.63,1150.98,چی میشه؟,And what's going to happen?,surprise
1151.02,1153.02,هیچه بلامش میرو خونتون اونم نمیفهم از...,It's not going to tell you what you're going to know.,neutral
1153.06,1154.66,ناسر رو میگه اونم,And he says he's going to tell me.,neutral
1154.7,1168.23,مرائله قانون میشه تیمی کن,It's not a lawyer.,neutral
1168.27,1170.15,من نمیدونم اندوز همونجا سرد,"And I don't know why they're going to be in the middle of the world, but I don't know why they're going to be in the middle of the world.",surprise
1170.19,1172.55,ادرست نردن خودش شرکته در جرمه,And he knows that he's going to work in prison.,neutral
1172.55,1174.77,علم بجای اشک تیم ساری اختان یه آدرست ساده,"It's not just a very interesting tool, but it's a very interesting tool.",joy
1174.81,1177.73,ببابدی بری سرخون زنده اید بیتر یا بفرستم اید بری زنده,"So you're alive or alive, you're alive or alive.",neutral
1177.77,1180.43,آخرش چی؟ چی کارش میکنیم؟,It's what we do?,surprise
1180.47,1181.65,ما ایچ,And we're not going to be going to be going to be going to be going to be going to be going to be going to be going to be going to be going to be going to be going to be going to be going to be going to be going to be going to be going to be going to be going to be going to be going to be going to be going to be going to be going to be.,neutral
1182.19,1183.93,تبلید آدگاش میریم,And we're going to be going to be going to be going to be going to be going to be going to be going to be going to be going to be going to be going to be going to be going to be going to be going to be going to be going to be going to be going to be going to be going to be going to be going to be going to be going to be going to be going to be going to be going to be going to be,neutral
1183.97,1186.69,ادام بیشه,And I'm going to be going to be going to be going to be going to be going to be going to be going to be going to be going to be going to be going to be going to be going to be going to be going to be going to be going to be going to be going to be going to be going to be going to be going to be going to be going to be going to be going to be going to be going to be going to be,neutral
1186.73,1188.07,اشکانی,It's going to be a very interesting species.,neutral
1188.11,1196.48,اشکانی، بیا اینجا,It's going to be here.,neutral
1197.4,1199.48,این آدرست نهنوش برو بازاشکاش,It's a very pretty pretty.,joy
0.0,1.64,ایراده از شنیدم,And I heard it.,surprise
1.64,4.28,یعنی دیدم همه شما خواهی خوره میگرفتن,And I thought you're going to be going to be going to be going to be going to be going to be going to be going to be going to be going to be going to be going to be going to be going to be going to be going to be going to be going to be going to be going to be going to be going to be going to be going to be going to be going to be going to be going to be going to be going to be going,neutral
4.28,6.76,همه اش یه بار,It's a few years ago.,neutral
6.76,8.16,حالت چطور؟,It's what?,surprise
8.16,9.12,خوبمینه دارم من,And I'm very good.,joy
9.12,10.72,خوبمینه تون,And you're very good.,joy
10.72,12.4,خوبمینه تون خیلی خوشانم میبینم اینجایی,And I'm very happy to see this place.,joy
12.4,13.04,شاوط جن,It's a lot of money.,neutral
13.04,13.8,منم همین تو,And I'm going to be going to be going to be going to be going to be going to be going to be going to be going to be going to be going to be going to be going to be going to be going to be going to be going to be going to be going to be going to be going to be.,neutral
13.8,14.56,خدایی توشن,And they're going to be going to be going to be going to be going to be going to be going to be going to be going to be going to be going to be going to be going to be going to be going to be going to be going to be going to be going to be going to be going to be going to be going to be going to be going to be going to be going to be going to be going to be going to be going to,neutral
14.56,18.16,از ده سلامه و عدد دارم خدمت همه ازیزان,And I'm going to thank you all of my friends and all of us.,joy
18.16,21.16,و همه دوستانی که دارن برنامه ما رو میبینم,"And all of the people who are watching our program, we see our program.",neutral
21.16,23.0,خدا رو شوکه اینجایی,It's going to be here.,neutral
23.0,24.28,راحت صلاحت کنم,And I don't want to do it.,anger
24.28,25.16,خیلی ممنون,And I'm very happy.,joy
30.04,31.72,کار چوب نزن,It's going to be a bubble.,neutral
31.72,32.72,بگوی؟,So what's going to be?,neutral
32.72,33.36,خدا تشمیسی,It's a prophet.,neutral
33.36,35.08,که می کنی با آزا هوا؟,And what do you do with a water?,surprise
35.08,36.0,خدا رو شوکه,It's going to be going to be going to be going to be going to be going to be going to be going to be going to be going to be going to be going to be going to be going to be going to be going to be going to be going to be going to be going to be going to be going to be going to be going to be going to be going to be going to be going to be going to be going to be going to be,neutral
36.0,37.68,می سازیم دیگه مثل همه,"And I'm going to do it like all of us, like all of us.",neutral
37.68,40.48,مشکول درگیری با کورونا و,It's a problem with the coronavirus and the disease.,neutral
40.48,41.56,کار و,And it's a lot of work.,neutral
41.56,42.44,روز مرگی,It's a wonderful day.,joy
42.44,45.08,نتیجه این همکاری و این پنگ پنگ و,And that's why they're going to be going to be going to be going to be going to be going to be going to be going to be going to be going to be going to be going to be going to be going to be going to be going to be going to be going to be going to be going to be going to be going to be going to be going to be going to be going to be going to be going to be going to be going,neutral
45.08,48.96,به دبستونه تون که توی این فیلم ها خیلی خوب خوشان نشون داده,And you're going to look at this film that was very good.,neutral
48.96,52.0,دلیلشم که من الان از خود پجمان دارم می پرسن,It's why I'm going to ask ourselves to ask ourselves.,neutral
52.0,53.36,چون,And because it's a good thing.,joy
53.36,54.64,اصلا رفاقته داره,And I don't know what's going to do.,surprise
55.64,57.64,این رفاقته از کجر,It's a very passionate attitude from Harvard.,neutral
57.64,59.64,گفته قبلن پجه سامو می شنام,It's going to be going to be going to be going to be going to be going to be going to be going to be going to be going to be going to be going to be going to be going to be going to be going to be going to be going to be going to be going to be going to be going to be going to be going to be going to be going to be going to be going to be going to be going to be going to be,neutral
59.64,61.64,بله ما از خیلی سال پیش و,And we've been a lot of years ago and we've been a lot of years ago and we've been a lot of years ago and we've been a lot of years ago and we've been a lot of years ago.,neutral
61.64,62.64,از که بازی تیمه,It's going to be a game.,joy
62.64,63.64,شما خودتونم مضور داشتیم,And I'm going to be able to defend you.,neutral
63.64,64.64,هونرمندانه؟,So what's a good thing?,joy
64.64,66.64,بازی تیمه هونرمندانه,It's a basketball game.,neutral
66.64,67.64,سرمون اینداد من,And I'm going to get a lot of money.,joy
67.64,69.64,نتیجه رو اجازه رو اجازه رو من نگم,And I don't know what I'm going to do.,surprise
69.64,71.64,حرف خوردم سرمون این اکسی که ما داریم با همیگه,"And I laughed at my head, I laughed at my head, and I laughed at my head.",joy
71.64,73.64,اجازه رو بیدیم من نتیجه رو نگم بلی,And we don't have a problem.,neutral
73.64,74.64,آره,It's going to be a very good job.,joy
74.64,75.64,آره,It's going to be a very good job.,joy
75.64,77.64,تیمه فرسویس و هونرمندانه بازی کردم آره,And I played a basketball team.,neutral
77.64,78.64,بعد من فرداش,And I'm going to tell me what I'm going to do.,neutral
78.64,80.64,یه مسائبه خونم از سام,And I'm going to get a bottle of a bottle of a bottle of a bottle of a bottle of a bottle of a bottle of a bottle of a bottle of a bottle of a bottle of a bottle of a bottle of a bottle of a bottle of a bottle of a bottle of a bottle of a bottle of a bottle of a bottle of a bottle of a bottle.,neutral
80.64,82.64,وقت گفته اود که من معمور,And I said that I'm going to be going to be going to be going to be going to be going to be going to be going to be going to be going to be going to be going to be going to be going to be going to be going to be going to be going to be going to be going to be going to be going to be going to be going to be going to be going to be going to be going to be going to be going to be,neutral
82.64,83.64,مهاره جمشیدی اودم,It's a wonderful story.,joy
83.64,85.64,من اصلا ندیدم اش,And I don't know what I did.,surprise
86.64,87.64,به خدا,It's Allah.,neutral
87.64,89.64,شما,And you're going to be going to be going to be going to be going to be going to be going to be going to be going to be going to be going to be going to be going to be going to be going to be going to be going to be going to be going to be going to be going to be going to be going to be going to be going to be going to be going to be going to be going to be going to be going to be,neutral
91.64,93.64,شمارت شو بیده که هونرمندانه,And it's going to be able to be able to be able to be able to be able to be able to be able to be able to be able to be able to be able to be able to be able to be able to be able to be able to be able to be able to be able to be able to be able to be able to be able to be able to be able to be able to be able to be able to be able to be able to be,neutral
93.64,95.64,شما من جمشم بودی,And I was a boy.,fear
95.64,97.64,چه نامحسوس مهارت کردم این,It was a very interesting way to do this.,joy
97.64,98.64,خودش خیلی سخته,And it's really very pretty.,joy
98.64,100.64,خیلی خوب مهار کردم,And I was very good.,joy
100.64,101.64,کسا نفهمیدی مهار شدیم,And we're going to be able to be able to be able to be able to be able to be able to be able to be able to be able to be able to be able to be able to be able to be able to be able to be able to be able to be able to be able to be able to be able to be able to be able to be able to be able to be able to be able to be able to be able to be able.,neutral
101.64,103.64,این رقم مهارم کرد و ایش که نبود,And that was the number that wasn't going to be going to be going to be going to be going to be going to be going to be going to be going to be going to be going to be going to be going to be going to be going to be going to be going to be going to be going to be going to be going to be going to be going to be going to be going to be going to be going to be going to be going to be going,neutral
104.64,106.64,من کلن,"And I'm going to say, I'm going to say, I'm going to say, I'm going to say, I'm going to say, I'm going to say, I'm going to say.",neutral
